name                      ;styczeń  ;   luty  ;   marzec ;kwiecień  ;  maj     ; czerwiec   ;  lipiec   ; sierpień ;wrzesień ;październik ;listopad    ;grudzień  ;  normalne  ;    ulgowe   ;    razem
Ł.Polana                 ;  15 898  ; 22 923  ; 16 711   ; 15 107   ;52 304    ;   80 370   ;150 847    ;190 344   ;93 700   ;   49 222   ; 19 752     ; 14 986   ;  465 756    ;256 408      ;    722 164
Wierch Poroniec          ;          ;         ;          ;    201   ; 3 342    ;    4 776   ;  8 175    ;  7 831   ; 3 172   ;            ;            ;          ;   12 647    ; 14 850      ;     27 497
Zazadnia                 ;          ;         ;          ;    157   ; 2 387    ;    3 338   ;  8 745    ; 11 542   ; 4 154   ;            ;            ;          ;   17 237    ; 13 086      ;     30 323
Cyrhla                   ;          ;         ;          ;    504   ; 1 156    ;    2 098   ;  4 914    ;  5 664   ; 2 231   ;            ;            ;          ;    9 782    ;   6 785     ;     16 567
Sucha Woda               ;          ;         ;          ;    489   ; 1 424    ;    2 087   ;  5 189    ;  7 858   ; 2 563   ;            ;            ;          ;   11 759    ;   7 851     ;     19 610
Olczyska                 ;          ;         ;          ;    211   ; 1 273    ;    1 956   ;  4 449    ;  5 173   ; 1 540   ;            ;            ;          ;    9 484    ;   5 118     ;     14 602
Nosal                    ;          ;         ;          ;    548   ; 2 624    ;    3 909   ; 11 319    ; 12 412   ; 4 459   ;            ;            ;          ;   21 440    ; 13 831      ;     35 271
Jaworzynka               ;   3 166  ;  4 805  ;  3 970   ;  3 795   ;13 083    ;   21 481   ; 42 928    ; 52 065   ;28 475   ;   13 011   ;  5 020     ;  2 688   ;  127 823    ; 66 664      ;    194 487
Goryczkowa               ;     930  ;  1 516  ;  1 293   ;    459   ; 2 651    ;    3 313   ;  9 562    ; 18 242   ; 8 131   ;     3 520  ;  1 176     ;    406   ;   34 090    ; 17 109      ;     51 199
Kalatówki                ;   4 501  ;  6 449  ;  5 892   ;  5 797   ;11 402    ;   17 621   ; 35 834    ; 40 308   ;22 568   ;   11 573   ;  4 832     ;  3 019   ;  101 081    ; 68 715      ;    169 796
Dol.Białego              ;   2 032  ;  3 831  ;  1 831   ;  2 496   ; 6 410    ;    8 960   ; 18 384    ; 19 619   ; 9 385   ;     4 258  ;  1 855     ;  1 494   ;   48 287    ; 32 268      ;     80 555
Dol. Strążyska           ;   5 357  ;  8 467  ;  4 272   ;  4 628   ;15 294    ;   21 004   ; 35 735    ; 37 723   ;19 503   ;   10 584   ;  4 834     ;  3 938   ;   97 293    ; 74 046      ;    171 339
Mała Łąka                ;     826  ;  1 490  ;    392   ;    823   ; 2 683    ;    5 449   ; 11 002    ; 13 547   ; 6 589   ;     2 890  ;  1 103     ;    582   ;   30 085    ; 17 291      ;     47 376
Staników Źleb            ;          ;         ;          ;          ;          ;      271   ;  1 115    ;  1 358   ;         ;            ;            ;          ;    1 726    ;   1 018     ;      2 744
Kościeliska              ;  14 266  ; 21 552  ; 13 460   ; 12 030   ;37 613    ;     55 562 ;   95 773  ;   99 231 ;  49 843 ;   28 251   ;  11 322    ;  9 022   ;  269 527    ;178 398      ;    447 925
Razem                    ;  46 976  ; 71 033  ; 47 821   ; 47 245   ;153 646   ;    232 195 ;  443 971  ;  522 917 ;  256 313;   123 309  ;  49 894    ; 36 135   ;1 258 017    ;773 438      ;  2 031 455
Bilety 7 dniowe          ;      70  ;    214  ;    111   ;    182   ;  316     ;      114   ;  5 660    ;  7 502   ; 2 940   ;     287    ;   55       ;  134     ; 10 729      ; 6 856       ;   17 585
RAZEM                    ;  47 046  ; 71 247  ; 47 932   ; 47 427   ;153 962   ;    232 309 ;  449 631  ;  530 419 ;  259 253;   123 596  ;  49 949    ; 36 269   ;1 268 746    ;780 294      ;  2 049 040
Bilety 7 dniowe*6 dni    ;     420  ;  1 284  ;    666   ;  1 092   ;1 896     ;      684   ; 33 960    ; 45 012   ;  17 640 ;    1 722   ;   330      ;   804    ;  64 374     ;41 136       ;   105 510
OGÓŁEM                   ;  47 396  ; 72 317  ; 48 487   ; 48 337   ;155 542   ;    232 879 ;  477 931  ;  567 929 ;  273 953;   125 031  ;  50 224    ; 36 939   ;1 322 391    ;814 574      ;  2 136 965
Kasprowy Wierch          ;  31 932  ; 41 543  ; 29 496   ; 24 356   ;25 559    ;     33 159 ;   63 919  ;   85 029 ;  51 417 ;    33 897  ;  11 460    ; 20 572   ;             ;             ;    452 339
Dolina Chochołowska      ;   6 388  ;  6 545  ; 18 757   ; 13 060   ;18 502    ;     18 051 ;   36 784  ;   43 889 ;  21 345 ;    10 665  ;   4 902    ;   3 645  ;  132 924    ;  69 609     ;     202 533
Dolina Lejowa"           ;          ;         ;          ;          ;          ;            ;           ;          ;         ;            ;            ;          ;             ;             ;                  
RAZEM                    ;  85 716  ;120 405  ; 96 740   ; 85 753   ;199 603   ;    284 089 ;  578 634  ;  696 847 ; 346 715 ;     169 593;   66 586   ; 61 156   ;1 455 315    ;884 183      ; 2 791 837
