name                     ;"styczeń  ;  luty    ;  marzec  ;  kwiecień  ;  maj     ; czerwiec   ; lipiec   ; sierpień ;  wrzesień   ;październik; listopad; grudzień  ;    "normalne   ;    ulgowe  ;     razem"
"Ł.Polana                ;  19 243  ;  25 752  ;  10 108  ;   14 406   ; 50 161   ;   82 437   ;174 982   ; 206 924  ;   89 382    ;   44 738  ;  16 367 ;   28 486  ;  506 715       ;256 271     ;   762 986"
"Wierch Poroniec         ;          ;          ;          ;    1 028   ;  5 744   ;    9 835   ; 16 493   ;  17 572  ;    7 263    ;           ;         ;           ;    27 893      ; 30 042     ;    57 935"
"Zazadnia                ;          ;          ;          ;      829   ;  2 209   ;    4 591   ; 12 283   ;  13 348  ;    4 526    ;     2 261 ;         ;           ;    23 612      ; 16 435     ;    40 047"
"Cyrhla                  ;          ;          ;          ;       75   ;    939   ;    2 457   ;  5 677   ;   6 037  ;    2 129    ;           ;         ;           ;    10 456      ;  6 858     ;    17 314"
"Sucha Woda              ;          ;          ;          ;      335   ;  1 536   ;    2 565   ;  7 070   ;   9 429  ;    1 824    ;           ;         ;           ;    14 920      ;  7 839     ;    22 759"
"Olczyska                ;          ;          ;          ;      268   ;    516   ;    1 419   ;  4 944   ;   7 401  ;    1 251    ;           ;         ;           ;     9 864      ;  5 935     ;    15 799"
"Nosal                   ;          ;          ;          ;      317   ;  2 024   ;    3 964   ; 11 060   ;  11 667  ;    4 321    ;           ;         ;           ;    20 470      ; 12 883     ;    33 353"
"Jaworzynka              ;   3 227  ;   4 857  ;   3 452  ;    3 471   ;  9 696   ;   21 455   ; 48 079   ;  63 928  ;   26 873    ;   13 684  ;   3 939 ;    3 978  ;  139 876       ; 66 763     ;   206 639"
"Goryczkowa              ;     873  ;   2 153  ;   1 357  ;    1 388   ;  1 897   ;    6 520   ; 19 128   ;  23 985  ;    9 379    ;    4 439  ;     809 ;      884  ;    49 360      ; 23 452     ;    72 812"
"Kalatówki               ;   5 356  ;   7 182  ;   3 564  ;    6 360   ;  8 175   ;   17 335   ; 36 906   ;  45 680  ;   22 035    ;   11 494  ;   3 337 ;    4 107  ;  104 982       ; 66 549     ;   171 531"
"Dol.Białego             ;   2 575  ;   3 160  ;   1 418  ;    1 659   ;  4 840   ;    7 992   ; 21 405   ;  23 236  ;    9 342    ;    4 448  ;   1 826 ;    2 327  ;    52 453      ; 31 775     ;    84 228"
"Dol. Strążyska          ;   6 553  ;   8 289  ;   3 624  ;    4 055   ; 13 962   ;   22 395   ; 42 633   ;  45 710  ;   20 564    ;   11 021  ;   4 040 ;    5 775  ;  109 750       ; 78 871     ;   188 621"
"Mała Łąka               ;     732  ;   1 088  ;     294  ;      638   ;  1 902   ;    5 984   ; 13 385   ;  16 429  ;    6 146    ;    2 489  ;     582 ;      688  ;    32 247      ; 18 110     ;    50 357"
"Kościeliska             ;  15 306  ;  20 397  ;   8 270  ;   11 376   ; 39 455   ;   56 750   ;100 043   ; 111 872  ;   49 247    ;   27 726  ;   9 000 ;   13 407  ;  274 018       ;188 831     ;   462 849"
"Razem                   ;  53 865  ; 72 878   ; 32 087   ;   46 205   ;143 056   ; 245 699    ;514 088   ;603 218   ;  254 282    ;  122 300  ;  39 900 ;  59 652   ; 1 376 616     ;810 614      ;2 187 230"
"Bilety 7 dniowe         ;     112  ;     144  ;     130  ;      100   ;    286   ;    2 065   ;  6 192   ;   8 238  ;    2 934    ;      274  ;      38 ;      136  ;    13 055      ;  7 594     ;    20 649"
