name                     ;"styczeń  ;   luty    ; marzec   ; kwiecień   ;  maj       ;czerwiec  ;  lipiec   ; sierpień  ; wrzesień   ;październik ;listopad  ;grudzień  ;"normalne     ;ulgowe      ;   razem"
"Ł.Polana                ;  30 219  ;  42 221   ; 19 395   ;  26 300    ;  70 731    ; 111 168  ; 212 684   ; 230 803   ; 104 276    ;   50 573   ; 18 574   ; 26 793   ;    638 420   ;  305 317   ;   943 737"
"Wierch Poroniec         ;          ;           ;          ;       0    ;   7 429    ;  15 085  ;  17 006   ;  17 300   ;   6 738    ;            ;          ;          ;      28 704  ;   34 854   ;    63 558"
"Zazadnia                ;          ;           ;          ;       0    ;   4 083    ;   5 809  ;  13 616   ;  14 768   ;   5 967    ;        0   ;          ;          ;      26 395  ;   17 848   ;    44 243"
"Cyrhla                  ;          ;           ;          ;       0    ;   1 777    ;   2 679  ;   6 160   ;   7 109   ;   2 656    ;            ;          ;          ;      11 378  ;    9 003   ;    20 381"
"Sucha Woda              ;          ;           ;          ;     409    ;   2 162    ;   3 455  ;   6 796   ;   9 101   ;   3 016    ;            ;          ;          ;      15 957  ;    8 982   ;    24 939"
"Olczyska                ;          ;           ;          ;   1 142    ;   1 895    ;   3 142  ;   6 871   ;   8 398   ;   2 656    ;    1 050   ;          ;          ;      15 829  ;    9 325   ;    25 154"
"Nosal                   ;          ;           ;          ;   1 522    ;   3 686    ;   4 303  ;  12 107   ;  13 802   ;   4 869    ;    1 584   ;          ;          ;      26 350  ;   15 523   ;    41 873"
"Jaworzynka              ;   5 335  ;   6 725   ;  4 087   ;   5 489    ;  13 825    ;  28 258  ;  53 451   ;  62 371   ;  31 002    ;   11 775   ;  3 316   ;  4 453   ;    158 930   ;   71 157   ;   230 087"
"Goryczkowa              ;   1 599  ;   2 534   ;  1 846   ;   1 974    ;   3 676    ;   8 908  ;  24 907   ;  28 675   ;  10 720    ;    2 846   ;    365   ;  1 602   ;      62 338  ;   27 314   ;    89 652"
"Kalatówki               ;   7 300  ;   8 534   ;  5 219   ;  12 002    ;  11 539    ;  21 866  ;  40 343   ;  43 300   ;  22 583    ;    9 592   ;  4 208   ;  5 479   ;    122 512   ;   69 453   ;   191 965"
"Dol.Białego             ;   3 408  ;   4 295   ;  1 692   ;   2 636    ;   6 924    ;  10 975  ;  21 194   ;  22 535   ;   9 757    ;    4 402   ;  1 449   ;  2 223   ;      56 126  ;   35 364   ;    91 490"
"Dol. Strążyska          ;   8 265  ;  10 558   ;  4 685   ;   6 846    ;  21 245    ;  26 109  ;  45 964   ;  49 549   ;  22 002    ;   10 977   ;  4 133   ;  5 262   ;    128 319   ;   87 276   ;   215 595"
"Mała Łąka               ;     905  ;   1 608   ;    444   ;   1 137    ;   3 281    ;   6 681  ;  14 657   ;  16 677   ;   7 114    ;    2 353   ;    495   ;    400   ;      35 710  ;   20 042   ;    55 752"
"Kościeliska             ;  20 912  ;  26 440   ; 11 660   ;  19 848    ;  51 592    ;  67 567  ; 106 542   ; 124 848   ;  50 071    ;   25 711   ;  8 054   ; 13 969   ;    311 816   ;  215 398   ;   527 214"
"Razem                   ;  77 943  ; 102 915   ;49 028    ;  79 305    ;203 845     ;316 005   ; 582 298   ;649 236    ;283 427     ;  120 863   ; 40 594   ;60 181    ;  1 638 784   ; 926 856    ; 2 565 640"
"Bilety 7 dniowe         ;     140  ;     262   ;    197   ;     185    ;     428    ;   2 171  ;   6 072   ;   7 407   ;   2 713    ;      247   ;     31   ;    135   ;      13 009  ;    6 979   ;    19 988"
"RAZEM                   ;  78 083  ; 103 177   ; 49 225   ;  79 490    ; 204 273    ; 318 176  ; 588 370   ; 656 643   ; 286 140    ;  121 110   ; 40 625   ; 60 316   ;   1 651 793  ;  933 835   ; 2 585 628"
