name                   ;  "styczeń   ;  luty    ; marzec   ; kwiecień  ;  maj      ;czerwiec   ; lipiec   ; sierpień  ; wrzesień ;  październik; listopad ;grudzień   ;   "normalne   ;     ulgowe;      razem"
"Ł.Polana              ;    42 918   ; 41 496   ; 22 543   ;  45 253   ; 93 898    ;  94 776   ;164 953   ; 208 218   ; 124 532  ;     60 360  ;  29 248  ;  30 420   ; 669 039       ; 289 576   ;    958 615"
"Wierch Poroniec       ;             ;          ;          ;   5 007   ; 11 134    ;  11 204   ; 17 228   ;  28 693   ;  10 687  ;             ;          ;           ;   47 991      ;  35 962   ;     83 953"
"Zazadnia              ;             ;          ;          ;   3 182   ;  6 153    ;   5 674   ;  8 879   ;  12 338   ;   7 173  ;          0  ;          ;           ;   26 396      ;  17 003   ;     43 399"
"Cyrhla                ;             ;          ;          ;     797   ;  2 937    ;   2 976   ;  5 984   ;   7 093   ;   3 468  ;             ;          ;           ;   13 048      ;  10 207   ;     23 255"
"Sucha Woda            ;             ;          ;          ;   1 336   ;  2 689    ;   3 034   ;  2 599   ;   6 615   ;   4 291  ;             ;          ;           ;   13 816      ;   6 748   ;     20 564"
"Olczyska              ;             ;          ;          ;   1 513   ;  2 125    ;   2 784   ;  6 352   ;   8 454   ;   3 398  ;          0  ;          ;           ;   15 532      ;   9 094   ;     24 626"
"Nosal                 ;             ;          ;          ;   2 333   ;  4 067    ;   4 947   ; 12 439   ;  12 708   ;   6 127  ;          0  ;          ;           ;   27 125      ;  15 496   ;     42 621"
"Jaworzynka            ;     5 766   ;  7 213   ;  5 530   ;   9 788   ; 20 047    ;  24 243   ; 39 295   ;  58 488   ;  39 940  ;     16 012  ;   6 878  ;   4 434   ; 164 823       ;  72 811   ;    237 634"
"Goryczkowa            ;     2 193   ;  2 365   ;  2 353   ;   2 971   ;  6 211    ;   6 784   ; 17 423   ;  23 771   ;  13 330  ;      4 716  ;   1 916  ;   1 405   ;   60 381      ;  25 057   ;     85 438"
"Kalatówki             ;     8 717   ;  8 927   ;  5 910   ;  15 882   ; 15 010    ;  17 700   ; 35 902   ;  39 109   ;  26 752  ;     12 790  ;   5 563  ;   4 329   ; 130 417       ;  66 174   ;    196 591"
"Dol.Białego           ;     4 333   ;  5 327   ;  2 208   ;   4 179   ;  9 287    ;  10 571   ; 19 260   ;  23 126   ;  11 478  ;      5 396  ;   2 809  ;   2 299   ;   61 253      ;  39 020   ;    100 273"
"Dol. Strążyska        ;    11 349   ; 11 864   ;  5 445   ;  10 049   ; 24 971    ;  27 832   ; 44 661   ;  50 192   ;  27 256  ;     14 457  ;   7 033  ;   7 104   ; 146 357       ;  95 856   ;    242 213"
"Mała Łąka             ;     1 452   ;  1 481   ;    844   ;   2 398   ;  4 867    ;   5 519   ; 10 538   ;  14 502   ;   8 749  ;      3 485  ;   1 394  ;     895   ;   36 986      ;  19 138   ;     56 124"
"Kościeliska           ;    22 582   ; 24 163   ; 11 229   ;  22 149   ; 54 684    ;  54 874   ; 80 170   ;  98 501   ;  57 991  ;     28 169  ;  11 260  ;  12 735   ; 287 244       ; 191 263   ;    478 507"
"E-Bilety              ;             ;          ;          ;           ;    901    ;     832   ;  5 819   ;  13 009   ;   5 483  ;             ;          ;           ;   20 925      ;   5 119   ;     26 044"
"Razem                 ;    99 310   ;102 836   ; 56 062   ;126 837    ;258 981    ;273 750    ;471 502   ;604 817    ;350 655   ;    145 385  ;  66 101  ; 63 621    ;1 721 333      ;898 524    ;   2 619 857"
"Bilety 7 dniowe       ;       207   ;    291   ;    183   ;     717   ;    599    ;   2 124   ;  9 335   ;   6 478   ;   3 407  ;        410  ;      74  ;     134   ;   12 980      ;  10 979   ;     23 959"
"RAZEM                 ;    99 517   ;103 127   ; 56 245   ; 127 554   ;259 580    ; 275 874   ;480 837   ; 611 295   ; 354 062  ;    145 795  ;  66 175  ;  63 755   ;1 734 313      ; 909 503   ;  2 643 816"
