name                   ;"styczeń    ; luty    ;marzec    ;kwiecień    ; maj      ;czerwiec    ;lipiec   ;sierpień  ; wrzesień ;październik ;listopad  ;grudzień   ;"normalne    ;  ulgowe     ;         razem"
"Ł.Polana              ;  15 400    ; 44 874  ; 26 506   ;  32 486    ; 71 297   ; 106 709    ;190 756  ; 229 932  ;  116 982 ;   76 977   ;  27 790  ; 33 427   ;  696 568    ;276 568      ;      973 136"
"Wierch Poroniec       ;            ;         ;          ;   3 063    ;  8 798   ;  14 886    ;22 939   ; 25 383   ;  13 342  ;            ;          ;          ;   48 120    ; 40 291      ;       88 411"
"Zazadnia              ;            ;         ;          ;   1 515    ;  3 884   ;  6 548     ;10 203   ; 13 972   ;   6 569  ;      0     ;          ;          ;   25 902    ; 16 789      ;       42 691"
"Cyrhla                ;            ;         ;          ;    926     ;  2 043   ;  3 905     ; 6 559   ;  8 099   ;   4 914  ;            ;          ;          ;   15 552    ; 10 894      ;       26 446"
"Sucha Woda            ;            ;         ;          ;    687     ;  1 823   ;  3 496     ; 5 988   ;  8 863   ;   3 786  ;            ;          ;          ;   16 719    ;  7 924      ;       24 643"
"Olczyska              ;            ;         ;          ;   1 157    ;  1 949   ;  3 590     ; 6 635   ;  9 015   ;   3 676  ;      0     ;          ;          ;   16 263    ;  9 759      ;       26 022"
"Nosal                 ;            ;         ;          ;   1 618    ;  4 394   ;  5 239     ;14 278   ; 18 585   ;   4 546  ;      0     ;          ;          ;   31 858    ; 16 802      ;       48 660"
"Jaworzynka            ;  3 410     ;  8 199  ;  7 793   ;   5 840    ; 12 591   ;  26 030    ;34 839   ; 61 350   ;  36 780  ;   19 616   ;  4 260   ;  4 037   ;  157 847    ; 66 898      ;      224 745"
"Goryczkowa            ;  1 119     ;  3 380  ;  3 664   ;   1 909    ;  2 844   ;  7 632     ;18 640   ; 23 827   ;  11 401  ;    6 325   ;  1 255   ;  1 628   ;   60 502    ; 23 122      ;       83 624"
"Kalatówki             ;  6 383     ; 11 672  ;  6 842   ;   9 445    ; 10 400   ;  16 214    ;28 904   ; 33 089   ;  17 300  ;   13 257   ;  3 788   ;  4 798   ;  106 584    ; 55 508      ;      162 092"
"Dol.Białego           ;  2 371     ;  5 384  ;  2 036   ;   2 659    ;  6 577   ;  10 663    ;19 480   ; 22 475   ;  10 387  ;    9 445   ;  2 125   ;  2 549   ;   61 142    ; 35 009      ;       96 151"
"Dol. Strążyska        ;  6 809     ; 13 234  ;  6 262   ;   8 671    ; 23 002   ;  32 396    ;48 946   ; 58 593   ;  26 390  ;    4 162   ;  4 211   ;  6 800   ;  147 704    ; 91 772      ;      239 476"
"Mała Łąka             ;   752      ;  2 096  ;  1 061   ;   1 312    ;  3 549   ;  6 894     ;11 832   ; 15 441   ;  11 850  ;    5 078   ;   969    ;   911    ;   37 624    ; 24 121      ;       61 745"
"Kościeliska           ;  14 083    ; 27 248  ; 14 549   ;  18 543    ; 53 482   ;  55 498    ;101 412  ; 114 925  ;  57 995  ;   35 064   ;  11 215  ; 15 915   ;  324 664    ;195 265      ;      519 929"
"E-bilety              ;   345      ;   867   ;   797    ;   1 439    ;  1 806   ;  1 943     ; 3 662   ;  6 132   ;   2 559  ;    1 337   ;   384    ;   422    ;             ;             ;       21 693"
"Razem                 ;  50 672    ;116 954  ; 69 510   ; 91 270     ;208 439   ; 301 643    ;525 073  ; 649 681  ;  328 477 ;   171 261  ; 55 997   ; 70 487   ; 1 747 049   ;870 722      ;   2 639 464"
"Bilety 7 dniowe       ;   118      ;  254    ;   199    ;    326     ;   355    ;   217      ; 5 628   ;  6 648   ;   2 799  ;     344    ;    79    ;  129     ;  11 369     ; 5 727       ;      17 096"
"RAZEM                 ;  50 790    ;117 208  ; 69 709   ;  91 596    ; 208 794  ; 301 860    ;530 701  ; 656 329  ;  331 276 ;   171 605  ;  56 076  ; 70 616   ; 1 758 418   ;876 449      ;   2 656 560"
"Bilety 7 dniowe*6 dni ;   708      ; 1 524   ;  1 194   ;   1 956    ;  2 130   ;  1 302     ;33 768   ; 39 888   ;  16 794  ;    2 064   ;   474    ;  774     ;  68 214     ;34 362       ;     102 576"
"OGÓŁEM                ;  51 380    ;118 478  ; 70 704   ; 93 226     ;210 569   ; 302 945    ;558 841  ; 689 569  ;    345271;    173 325;    56 471;    71 261;    1 815 263;   905 084   ;       2 742 040"
"Kasprowy Wierch       ;  38 911    ; 54 561  ; 42 015   ;  35 744    ; 29 145   ;  56 882    ;80 506   ; 82 634   ;   34 988 ;      0     ;  7 619   ; 31 166   ;             ;             ;     494 171"
"Dolina Chochołowska   ;  11 565    ; 19 050  ; 18 237   ;  38 726    ; 19 943   ;  25 635    ;45 829   ; 59 301   ;   32 161 ;   18 706   ;  7 340   ; 11 236   ;  216 499    ;91 230       ;     307 729"
"Dolina Lejowa         ;            ;         ;          ;            ;          ;            ;         ;          ;          ;            ;          ;          ;             ;             ;           0"
"RAZEM                 ;  101 856   ;192 089  ; 130 95   ; 167 696    ;259 657   ;  385 462   ; 685 176 ;   831504 ;  412 420;   192 031  ;  71 430  ;  113 663 ;   2 031 762 ;   996 314   ;   3 543 940"
"Mieszkańcy            ;   2 056    ; 3 202   ;  3 511   ;  3 179     ;  3 019   ;  6 012     ; 7 351   ;  6 757   ;    6 577 ;    6 109   ;  1 720   ;  1 670   ;             ;             ;      51 163"
"Zwolnieni             ;    403     ; 1 017   ;   623    ;   624      ;  1 716   ;  2 963     ; 4 484   ;  3 719   ;    3 123 ;     610    ;   401    ;   380    ;             ;             ;      20 063"
"Skiturowcy            ;   1 590    ; 2 653   ;  4 726   ;   591      ;    0     ;    0       ;   0     ;    0     ;      0   ;      0     ;    0     ;   985    ;             ;             ;      10 545"
"Karta Dużej Rodziny   ;   2 380    ; 4 970   ;  1 263   ;  3 406     ;  6 047   ;  13 542    ;35 188   ; 40 066   ;   10 153 ;    5 906   ;  1 472   ;  1 657   ;             ;             ;     126 050"
"CAŁOŚĆ                ;  108 285   ;203 931  ; 141 079  ; 175 496    ; 270 439  ; 407 979    ;732 199  ; 882 046  ;  432 273 ;   204 656  ;  75 023  ; 118 355  ;             ;             ;  3 751 761"
