name                   ; styczeń   ;  luty    ;     marzec ;kwiecień   ;  maj     ;czerwiec   ; lipiec   ;sierpień   ;wrzesień   ;październik   ;listopad   ;grudzień  ;normalne   ; ulgowe    ;  razem
Ł.Polana              ;   55 105   ; 61 146   ;  13 326    ;   0       ; 22 643   ; 60 211    ;132 739   ;148 011    ;101 550    ;  33 824      ; 24 312    ; 27 003   ;  508 070   ;171 800    ;     679 870
Wierch Poroniec       ;            ;          ;            ;   0       ;  2 903   ;  7 424    ;19 901    ;20 858     ;12 863     ;   4 685      ;  2 960    ;          ;  45 775    ; 25 819    ;      71 594
Zazadnia              ;            ;          ;            ;   0       ;  1 971   ;  6 060    ;12 272    ;14 166     ; 8 874     ;   2 434      ;  1 217    ;          ;  32 169    ; 14 825    ;      46 994
Cyrhla                ;            ;          ;            ;   0       ;   770    ;  2 711    ; 7 324    ; 8 802     ; 4 712     ;              ;           ;          ;  16 227    ;  8 092    ;      24 319
Sucha Woda            ;            ;          ;            ;   0       ;  1 077   ;  3 037    ; 7 970    ; 9 658     ; 5 613     ;              ;           ;          ;  20 309    ;  7 046    ;      27 355
Olczyska              ;            ;          ;            ;   0       ;   931    ;  2 933    ; 7 929    ; 8 954     ; 4 451     ;              ;           ;          ;  16 525    ;  8 673    ;      25 198
Nosal                 ;            ;          ;            ;   0       ;  1 712   ;  6 034    ;17 793    ;20 138     ;11 506     ;              ;           ;          ;  39 867    ; 17 316    ;      57 183
Jaworzynka            ;   8 191    ;  8 963   ;   2 591    ;   0       ;  6 582   ; 19 659    ;48 369    ;56 906     ;42 127     ;  11 293      ;  8 832    ;  6 009   ;  163 130   ; 56 392    ;     219 522
Goryczkowa            ;   3 266    ;  3 682   ;   1 305    ;   0       ;  1 474   ;  5 770    ;18 261    ;19 167     ;14 779     ;   3 587      ;  3 161    ;  2 511   ;  57 024    ; 19 939    ;      76 963
Kalatówki             ;   10 241   ; 12 350   ;   3 092    ;   0       ;  3 183   ; 10 328    ;24 595    ;25 877     ;20 938     ;   6 548      ;  4 301    ;  3 486   ;  87 456    ; 37 483    ;     124 939
Dol.Białego           ;   5 949    ;  6 111   ;   1 060    ;  586      ;  2 867   ;  8 142    ;18 681    ;21 152     ;12 872     ;   4 168      ;  2 395    ;  2 575   ;  59 451    ; 27 107    ;      86 558
Dol. Strążyska        ;   13 676   ; 14 024   ;   2 429    ;  898      ;  6 431   ; 20 309    ;47 196    ;49 871     ;32 614     ;  11 177      ;  6 738    ;  6 612   ;  147 546   ; 64 429    ;     211 975
Mała Łąka             ;   1 965    ;  1 812   ;    206     ;   0       ;  2 021   ;  5 746    ;13 666    ;15 875     ;10 599     ;   2 895      ;  2 377    ;  1 596   ;  42 338    ; 16 420    ;      58 758
Kościeliska           ;   36 358   ; 39 503   ;   5 892    ;   0       ; 11 442   ; 38 867    ;91 360    ;96 378     ;62 215     ;  20 866      ; 13 076    ; 13 183   ;  301 122   ;128 018    ;     429 140
E-bilety              ;    848     ;  1 112   ;     0      ;   9       ; 14 152   ; 18 185    ;46 243    ;68 098     ;46 114     ;  12 744      ; 10 982    ;  7 136   ;  166 241   ; 59 382    ;     225 623
Razem                 ;  135 599   ;148 703   ;  29 901    ; 1 493     ;80 159    ;215 416    ;514 299   ;583 911    ;391 827    ; 114 221      ;80 351     ;70 111    ; 1 703 250  ; 662 741   ;  2 365 991
Bilety 7 dniowe       ;    220     ;  297     ;   101      ;   0       ;   220    ;  198      ; 5 365    ; 6 250     ; 3 584     ;   381        ;   85      ;  154     ;   11 345   ;  5 510    ;      16 855
RAZEM                 ;  135 819   ;149 000   ;  30 002    ; 1 493     ; 80 379   ;215 614    ;519 664   ;590 161    ;395 411    ; 114 602      ; 80 436    ; 70 265   ; 1 714 595  ; 668 251   ;   2 382 846
Bilety 7 dniowe*6 dni ;   1 320    ; 1 782    ;   606      ;   0       ;  1 320   ; 1 188     ;32 190    ;37 500     ;21 504     ;  2 286       ;  510      ;  924     ;   68 070   ; 33 060    ;     101 130
OGÓŁEM                ;  136 919   ;150 485   ; 30 507     ; 1 493     ;81 479    ;216 604    ;546 489   ;621 411   4;13 331     ; 116 507      ;80 861     ;71 035    ; 1 771 320  ; 695 801   ;   2 467 121
Kasprowy Wierch       ;   55 695   ; 47 777   ;  12 410    ;   0       ; 9 134    ; 25 231    ;54 730    ;47 168     ; 41 719    ;  16 662      ; 11 372    ; 11 966   ;  333 864   ;           ;    333 864
Dolina Chochołowska   ;   23 647   ; 22 752   ;  3 943     ;   0       ; 9 671    ; 21 990    ;47 499    ;53 142     ; 34 527    ;  9 885       ;  8 660    ;  7 692   ;  180 086   ; 63 322    ;    243 408
Dolina Lejowa         ;            ;          ;            ;           ;          ;           ;2 850     ; 4 582     ;  2 289    ;   327        ;           ;          ;   6 300    ;  3 748    ;     10 048
RAZEM                 ;  216 261   ;221 014   ; 46 860     ; 1 493     ;100 284   ;263 825    ;651 568   ; 726 303   ;491 866    ; 143 381      ;100 893    ;90 693    ; 2 291 570  ; 762 871   ;   3 054 441
Mieszkańcy            ;   2 326    ; 2 655    ;   1 011    ;           ; 9 607    ;  7 234    ;10 111    ;11 093     ;  9 117    ;  4 449       ; 9 557     ; 4 759    ;            ;           ;     71 919
Zwolnieni             ;    479     ;  492     ;    289     ;   0       ;  353     ;  1 809    ; 3 903    ; 4 119     ;  3 086    ;  1 429       ;  881      ;  157     ;            ;           ;     16 997
