name                   ;styczeń   ; luty     ;marzec    ;kwiecień   ;;  maj     ;czerwiec  ;  lipiec  ; sierpień   ; wrzesień ;październik  ; listopad  ; grudzień   ;normalne   ;    ulgowe    ;  razem
Ł.Polana              ;  40 106   ; 44 264   ; 21 243   ;  12 101   ;;  42 365  ;  85 257  ;  206 809 ;  170 068   ;  115 590 ;    75 712   ;   34 070  ;   26 497   ;  595 454   ;  278 628     ;     874 082
Wierch Poroniec       ;           ;          ;          ;   2 864   ;;   8 333  ;  16 981  ;  27 525  ;  29 387    ;  19 773  ;    16 829   ;    7 844  ;    4 782   ;   81 247   ;   53 071     ;     134 318
Zazadnia              ;           ;          ;          ;   1 419   ;;   3 853  ;  8 851   ;  11 609  ;  14 122    ;   8 044  ;     5 590   ;    1 858  ;            ;   35 911   ;   19 435     ;      55 346
Cyrhla                ;           ;          ;          ;    714    ;;   2 253  ;  5 675   ;  10 221  ;   9 338    ;   5 530  ;             ;           ;            ;   21 487   ;   12 244     ;      33 731
Sucha Woda            ;           ;          ;          ;    976    ;;   1 956  ;  5 508   ;   9 442  ;  11 377    ;   7 982  ;    4 414    ;           ;            ;   30 546   ;   11 109     ;      41 655
Olczyska              ;           ;          ;          ;    769    ;;   2 456  ;  4 807   ;   8 858  ;   9 909    ;   4 752  ;             ;           ;            ;   19 496   ;   12 055     ;      31 551
Nosal                 ;           ;          ;          ;   1 200   ;;   5 225  ;  10 604  ;  23 231  ;  27 316    ;  14 603  ;             ;           ;            ;   56 226   ;   25 953     ;      82 179
Jaworzynka            ;  10 884   ; 13 939   ; 11 383   ;   4 418   ;;  11 451  ;  30 659  ;  53 438  ;  57 206    ;  44 498  ;    26 469   ;    9 204  ;    6 911   ;  203 937   ;   76 523     ;     280 460
Goryczkowa            ;  6 616    ;  8 283   ;  6 294   ;   4 290   ;;   3 514  ;  7 810   ;  18 562  ;  20 127    ;  14 248  ;     7 857   ;    2 824  ;    2 425   ;   77 044   ;   25 806     ;     102 850
Kalatówki             ;  10 561   ; 10 651   ;  6 661   ;   4 596   ;;   9 034  ;  13 631  ;  26 358  ;  29 541    ;  21 912  ;    14 013   ;    5 794  ;    5 210   ;  109 387   ;   48 575     ;     157 962
Dol.Białego           ;  4 664    ;  6 149   ;  3 386   ;   1 674   ;;   5 786  ;  13 595  ;  26 714  ;  29 328    ;  17 366  ;    10 759   ;    5 298  ;    3 553   ;   84 317   ;   43 955     ;     128 272
Dol. Strążyska        ;  13 459   ; 16 941   ;  9 015   ;   5 074   ;;  17 375  ;  32 947  ;  57 583  ;  56 421    ;  34 076  ;    13 603   ;   10 465  ;    8 448   ;  185 091   ;   90 316     ;     275 407
Mała Łąka             ;  3 086    ;  3 463   ;  2 187   ;   1 464   ;;   3 785  ;  8 591   ;  11 994  ;  14 516    ;  11 730  ;     6 685   ;    2 920  ;    1 559   ;   50 734   ;   21 246     ;      71 980
Kościeliska           ;  25 630   ; 31 002   ; 15 741   ;   9 219   ;;  27 669  ;  56 009  ;  99 436  ;  106 867   ;  71 591  ;    48 250   ;   22 362  ;   15 844   ;  353 875   ;  175 745     ;     529 620
E-bilety              ;  12 588   ; 12 001   ;  7 961   ;   5 013   ;;  16 284  ;  44 773  ;  82 983  ;  141 066   ;  74 241  ;    36 338   ;   19 875  ;    9 337   ;  462 460   ;              ;     462 460
Razem                 ;  127 594  ; 146 693  ; 83 871   ; 55 791    ;; 161 339  ; 345 698  ;  674 763 ;  726 589   ;  465 936 ;   266 519   ;  122 514  ;  84 566    ; 2 367 212  ;  894 661     ;  3 261 873
Bilety 7 dniowe       ;    150    ;   312    ;   196    ;   104     ;;   673    ;  2 610   ;   5 696  ;   6 967    ;   3 999  ;     453     ;     69    ;    166     ;  13 757    ;   7 638      ;      21 395
RAZEM                 ;  127 744  ; 147 005  ; 84 067   ;  55 895   ;; 162 012  ; 348 308  ;  680 459 ;  733 556   ;  469 935 ;   266 972   ;  122 583  ;   84 732   ; 2 380 969  ;  902 299     ;   3 283 268
