name                   ; "styczeń  ;   luty   ; marzec   ; kwiecień  ;   maj    ; czerwiec  ;  lipiec  ; sierpień  ; wrzesień   ;październik;   listopad ;  grudzień;  "normalne   ;   ulgowe     ;  razem"
"Ł.Polana              ;   39 977  ;  22 106  ; 19 896   ;  27 492   ; 56 448   ;  77 273   ; 131 978  ; 141 535   ;  81 948    ;  47 076   ;   21 844   ;   30 133 ;    510 491   ;  187 215     ;     697 706"
"Wierch Poroniec       ;   10 198  ;   8 378  ;  5 493   ;   6 275   ; 14 816   ;  19 541   ; 26 040   ; 28 224    ;  19 156    ;  11 144   ;    3 993   ;    6 407 ;    96 173    ;   63 492     ;     159 665"
"Zazadnia              ;           ;          ;          ;   2 202   ;  4 767   ;   5 719   ;  8 908   ; 10 259    ;   6 221    ;   2 745   ;     959    ;          ;    25 391    ;   16 389     ;      41 780"
"Cyrhla                ;           ;          ;          ;   2 249   ;  3 914   ;   5 755   ;  9 625   ; 10 028    ;   5 734    ;   2 384   ;            ;          ;    23 657    ;   16 032     ;      39 689"
"Sucha Woda            ;   3 540   ;  3 105   ;  1 822   ;   2 129   ;  4 249   ;   5 267   ; 10 492   ; 11 006    ;   8 874    ;   4 245   ;    1 535   ;   1 779  ;    42 969    ;   15 074     ;      58 043"
"Olczyska              ;           ;          ;          ;   1 918   ;  3 082   ;   3 845   ;  6 940   ;  6 897    ;   4 003    ;   2 408   ;            ;          ;    18 119    ;   10 974     ;      29 093"
"Nosal                 ;           ;          ;          ;   3 714   ;  8 104   ;  10 600   ; 19 773   ; 23 678    ;  14 591    ;   7 257   ;            ;          ;    62 019    ;   25 698     ;      87 717"
"Jaworzynka            ;   12 240  ;   7 495  ;  9 513   ;   8 001   ; 17 579   ;  28 149   ; 53 520   ; 60 631    ;  45 907    ;  21 546   ;    9 044   ;    9 486 ;    208 612   ;   74 499     ;     283 111"
"Goryczkowa            ;   4 611   ;   3 794  ;  5 345   ;   3 894   ;  3 987   ;   5 661   ; 10 527   ; 12 475    ;   8 151    ;   3 944   ;    1 535   ;    2 610 ;    50 593    ;   15 941     ;      66 534"
"Kalatówki             ;   11 576  ;   9 376  ;  6 793   ;   6 941   ;  8 187   ;  10 552   ; 16 442   ; 18 704    ;  13 274    ;   7 053   ;    2 897   ;    4 223 ;    79 236    ;   36 782     ;     116 018"
"Dol.Białego           ;   8 397   ;   5 303  ;    0     ;     0     ;    0     ;  12 298   ; 21 857   ; 27 154    ;  14 410    ;   8 447   ;    3 936   ;    4 977 ;    69 749    ;   37 030     ;     106 779"
"Dol. Strążyska        ;   19 035  ;  16 325  ;  9 984   ;  13 847   ; 27 364   ;  30 508   ; 52 894   ; 54 541    ;  30 001    ;  19 206   ;    8 961   ;   12 461 ;    192 228   ;  102 899     ;     295 127"
"Mała Łąka             ;   3 026   ;   2 794  ;  2 229   ;   2 437   ;  5 393   ;   7 045   ; 12 545   ; 14 355    ;   9 253    ;   5 158   ;    1 110   ;    2 024 ;    46 315    ;   21 054     ;      67 369"
"Kościeliska           ;   33 006  ;  28 043  ; 16 276   ;  22 935   ; 41 336   ;  53 810   ; 78 676   ; 86 817    ;  58 358    ;  35 660   ;   14 434   ;   19 641 ;    310 649   ;  178 343     ;     488 992"
"E-bilety              ;   22 893  ;  13 493  ; 14 162   ;  29 727   ; 46 407   ;  53 413   ; 131 673  ; 151 457   ;  93 970    ;  39 338   ;   14 730   ;   19 204 ;    630 467   ;              ;     630 467"
"Razem                 ;  168 499  ; 120 212  ; 91 513   ; 133 761   ; 245 633  ; 329 436   ; 591 890  ; 657 761   ; 413 851    ; 217 611   ;   84 978   ;  112 945 ;   2 366 668  ;  801 422     ;  3 168 090"
