name                    ;styczeń ;    luty   ; marzec    ;kwiecień  ;  maj     ; czerwiec ;   lipiec   ;sierpień   ;wrzesień ;październik  ; listopad  ; grudzień   ;normalne ;    ulgowe    ;      razem
Ł.Polana               ;  30 693 ;   36 321  ; 24 692    ; 26 155   ; 62 875   ;  70 603  ;  124 308   ;139 181    ; 70 219  ;   49 044    ;  27 630   ;  31 812    ; 500 837  ;   192 696    ;    693 533
Wierch Poroniec        ;  11 697 ;   13 550  ;  7 617    ; 8 518    ; 18 094   ;  17 166  ;  26 916    ;29 447     ; 16 851  ;   14 356    ;  7 901    ;  7 785     ; 112 974  ;   66 924     ;    179 898
Zazadnia               ;         ;           ;           ; 2 005    ;  5 323   ;  4 616   ;   8 273    ; 9 912     ; 5 207   ;   3 962     ;  2 393    ;            ; 26 593  ;    15 098    ;     41 691
Cyrhla                 ;         ;           ;           ; 1 734    ;  4 699   ;  4 850   ;   9 525    ;10 433     ; 4 657   ;   3 165     ;           ;            ; 24 195  ;    14 868    ;     39 063
Sucha Woda             ;  3 114  ;   4 439   ;  3 311    ; 2 047    ;  4 884   ;  6 227   ;  10 758    ;14 474     ; 8 570   ;   4 858     ;  3 019    ;  3 473     ; 51 727  ;    17 447    ;     69 174
Olczyska               ;         ;           ;           ; 1 870    ;  3 765   ;  3 625   ;   7 132    ; 7 785     ; 3 843   ;   2 734     ;           ;            ; 19 298  ;    11 456    ;     30 754
Nosal                  ;         ;           ;           ; 4 087    ; 10 004   ;  8 138   ;  17 697    ;24 646     ; 11 750  ;   8 078     ;  4 496    ;  1 568     ; 65 170  ;    25 294    ;     90 464
Jaworzynka             ;  12 231 ;   13 766  ; 10 929    ; 11 037   ; 27 148   ;  32 547  ;  57 535    ;71 146     ; 38 937  ;   24 208    ;  16 734   ;  9 886     ; 238 354  ;   87 750     ;    326 104
Goryczkowa             ;  3 468  ;   3 087   ;  2 719    ; 1 216    ;  3 337   ;  4 386   ;   9 115    ;13 387     ; 7 316   ;   4 864     ;  2 928    ;  2 655     ; 43 222  ;    15 256    ;     58 478
Kalatówki              ;  8 187  ;   8 706   ;  6 300    ; 5 019    ;  8 628   ;  10 968  ;  16 718    ;23 609     ; 17 116  ;   12 711    ;  7 368    ;  6 934     ; 90 830   ;   41 434     ;    132 264
Dol.Białego            ;  8 601  ;   9 188   ;  4 557    ; 4 553    ; 11 277   ;  11 082  ;  20 486    ;22 634     ; 11 998  ;   9 237     ;  5 434    ;  5 479     ; 82 054   ;   42 472     ;    124 526
Dol. Strążyska         ;  19 306 ;   21 841  ; 11 310    ; 11 755   ; 27 783   ;  28 181  ;  53 955    ;56 926     ; 26 346  ;   22 953    ;  12 949   ;  13 614    ; 197 314  ;   109 605    ;    306 919
Mała Łąka              ;   3 036 ;   3 445   ;   2 356   ;  2 200   ; 6 048    ;  6 740   ;    5 159   ; 12 820    ;  7 290  ;    5 290    ;   3 219   ;   2 575    ; 41 312   ;    18 866    ;     60 178
Kościeliska            ;  31 599 ;   39 265  ;  20 175   ; 22 045   ; 49 639   ;  54 802  ;   82 015   ; 90 685    ; 53 453  ;   41 535    ;  21 361   ;  23 761    ; 336 089  ;   194 246    ;    530 335
E-bilety               ;  24 010 ;   27 147  ;  24 540   ; 34 728   ; 61 420   ;  73 974  ;  147 536   ;190 715    ; 98 807  ;   59 209    ;  43 071   ;  31 186    ; 816 343  ;              ;    816 343
Razem                  ; 155 942 ;  180 755  ; 118 506   ;138 969   ; 304 924  ; 337 905  ;  597 128   ;717 800    ;382 360  ;  266 204    ; 158 503   ; 140 728    ;2 646 312  ;  853 412     ;  3 499 724
Bilety 7 dniowe        ;   255   ;    256    ;   274     ;  373     ;   652    ;  1 976   ;    3 917   ;  4 227    ;  2 129  ;    373      ;   102     ;   216      ;  9 626   ;     5 124    ;     14 750
RAZEM                  ; 156 197 ;  181 011  ; 118 780   ;139 342   ; 305 576  ; 339 881  ;  601 045   ;722 027    ;384 489  ;  266 577    ; 158 605   ; 140 944    ;2 655 938  ;  858 536     ;  3 514 474
Bilety 7 dniowe*6 dni  ;  1 530  ;   1 536   ;  1 644    ; 2 238    ;  3 912   ;  11 856  ;   23 502   ; 25 362    ; 12 774  ;   2 238     ;   612     ;  1 296     ; 57 756   ;    30 744    ;     88 500
OGÓŁEM                 ; 157 472 ;  182 291  ; 120 150   ;141 207   ; 308 836  ; 349 761  ;          620 630  ;743 162    ;395 134  ;  268 442    ;  159 115  ;  142 024   ;    2 704 068        ; 884 156      ;  3 588 224
Kasprowy Wierch        ;  41 574 ;   45 620  ; 32 777    ; 28 108   ; 23 367   ;  59 327  ;  102 906   ;109 038    ; 57 219  ;  24 839     ;  19 028   ;  43 395    ; 587 198  ;              ;    587 198
Dolina Chochołowska    ;  17 177 ;   18 730  ; 31 929    ; 31 638   ; 24 317   ;  23 629  ;   35 810   ;41 392     ; 26 208  ;  17 150     ;  10 932   ;  16 386    ; 212 527  ;   82 771     ;    295 298
Dolina Lejowa          ;         ;           ;           ;          ;          ;   422    ;   2 258    ; 2 035     ;  1 214  ;   478       ;           ;            ;  4 502  ;     1 905    ;      6 407
RAZEM                  ; 216 223 ;  246 641  ; 184 856   ;200 953   ; 356 520  ; 433 139  ; 761 604           ; 895 627     ; 479 775   ; 310 909     ; 189 075   ;   201 805  ;     3 508 295 ; 968 832;  4 477 127
Mieszkańcy             ;  4 516  ;    3 974  ;  4 954    ; 6 591    ;  9 504   ;   7 469  ;   9 617    ;12 857     ; 8 788   ;    9 619    ;   6 023   ;  4 616     ;          ;              ;     88 528
Zwolnieni              ;   2 456 ;   2 710   ;  2 069    ; 1 229    ; 2 658    ;  4 396   ;   4 977    ;10 847     ;  3 360  ;    2 813    ;   1 597   ;  1 781     ;          ;              ;     40 893
Skiturowcy             ;   5 279 ;    3 006  ;  2 394    ;  591     ;    0     ;     0    ;     0      ;  0        ;    0    ;      0      ;     0     ;  1 184     ;          ;              ;     12 454
Karta Dużej Rodziny    ;  11 723 ;   15 207  ;  6 838    ; 9 102    ; 22 926   ;  24 908  ;  56 512    ;72 788     ; 26 292  ;   18 506    ;  11 294   ;  7 657     ;          ;              ;    283 753
CAŁOŚĆ                 ; 240 197 ;  271 538  ; 201 111   ;218 466   ; 391 608  ; 469 912  ;  832 710   ;992 119    ;518 215  ;  341 847    ; 207 989   ; 217 043    ;           ;              ;  4 902 755
