name                   ;  styczeń;     luty  ;  marzec  ;  kwiecień ;     maj   ;   czerwiec;    lipiec ;  sierpień  ;  wrzesień ;  październik ;  listopad  ; grudzień ; normalne   ;    ulgowe  ;      razem
Ł.Polana              ;   37 109 ;   40 524  ;  20 260  ;  27 940   ;   46 126  ;   68 825  ;  103 013  ; 123 451    ;    0      ;     0        ;    0       ;   0      ;  329 232    ;  138 016   ;    467 248
Wierch Poroniec       ;   13 832 ;   17 274  ;   7 201  ;   7 946   ;   15 637  ;   22 956  ;   26 559  ;  32 229    ;    0      ;     0        ;    0       ;   0      ;   86 112    ;   57 522   ;    143 634
Zazadnia              ;          ;           ;          ;   2 089   ;    3 682  ;    5 943  ;    7 583  ;  10 102    ;    0      ;     0        ;    0       ;          ;   18 173    ;   11 226   ;     29 399
Cyrhla                ;          ;           ;          ;   1 778   ;    4 299  ;    6 335  ;    7 831  ;  10 644    ;    0      ;     0        ;            ;          ;   18 417    ;   12 470   ;     30 887
Sucha Woda            ;   5 552  ;   6 094   ;  2 860   ;   2 517   ;    4 501  ;    6 974  ;   10 214  ;  17 026    ;    0      ;     0        ;    0       ;   0      ;   40 017    ;   15 721   ;     55 738
Olczyska              ;          ;           ;          ;   2 069   ;    3 070  ;    3 761  ;    5 963  ;   7 277    ;    0      ;     0        ;            ;          ;   13 874    ;    8 266   ;     22 140
Nosal                 ;    3 654 ;    6 238  ;   1 975  ;   4 248   ;    8 655  ;   11 987  ;   19 837  ;  27 144    ;    0      ;     0        ;    0       ;   0      ;   57 403    ;   26 335   ;     83 738
Jaworzynka            ;   13 617 ;   17 495  ;   9 807  ;  10 960   ;   21 558  ;   32 684  ;   45 731  ;  75 525    ;    0      ;     0        ;    0       ;   0      ;  156 342    ;   71 035   ;    227 377
Goryczkowa            ;    3 398 ;    3 401  ;   2 954  ;   2 687   ;    4 626  ;    7 120  ;   11 566  ;  15 411    ;    0      ;     0        ;    0       ;   0      ;   36 481    ;   14 682   ;     51 163
Kalatówki             ;   10 867 ;   10 827  ;   6 282  ;   7 643   ;   11 121  ;   18 687  ;   24 650  ;  30 220    ;    0      ;     0        ;    0       ;   0      ;   78 492    ;   41 805   ;    120 297
