year, normalne, ulgowe  , total   , january , febuary , march  , april  , may    , june   , july   , august  , september, october , november , december
2025, 3165657 , 854226  , 4544625 , 292852  , 378959  , 195880 , 260625 , 356356 , 589443 , 794017 , 1097653 , 578841   , 0       , 0        , 0 
2024, 3508295 , 968832  , 4902755 , 240197  , 271538  , 201111 , 218466 , 391608 , 469912 , 832710 , 992119  , 518215   , 341847  , 207989   , 217043   
2023, 3193295 , 910805  , 4510149 , 253831  , 197946  , 164056 , 222390 , 323349 , 452457 , 819760 , 912188  , 579075   , 297135  , 114834   , 173128
2022, 3193430 , 998602  , 4580015 , 230860  , 238757  , 183902 , 173114 , 321470 , 553975 , 797438 , 938040  , 450725   , 380656  , 160057   , 151021
2021, 3165486 , 1037044 , 4600025 , 192521  , 230399  , 144995 , 100592 , 244968 , 484115 , 908177 , 1001295 , 641287   , 346912  , 169119   , 135645
2020, 2291570 , 762871  , 3301895 , 228980  , 233624  , 50178  , 1493   , 113825 , 285757 , 706862 , 788005  , 523324   , 155573  , 115557   , 98717
2019, 2031762 , 996314  , 3543940 , 108285  , 203931  , 141079 , 175496 , 270439 , 407979 , 732199 , 882046  , 432273   , 204656  , 75023    , 118355
2018, 2000547 , 1057070 , 3779460 , 171421  , 173782  , 112507 , 234557 , 335136 , 369053 , 677758 , 819954  , 472934   , 210089  , 94907    , 107362
2017, 1875335 , 1044416 , 3593754 , 146433  , 177478  , 97369  , 125556 , 266931 , 417666 , 780588 , 861367  , 378164   , 170604  , 65867    , 105731
2016, 1782923 , 1032603 , 3500142 , 99780   , 148025 , 97141  , 169871 , 299362 , 345321 , 694950 , 894797  , 463179   , 145981  , 56759    , 84976
2015, 1595821 , 926569  , 3180644 , 90420   , 130623 , 78366  , 108746 , 186148 , 317172 , 738853 , 839248  , 355135   , 168258  , 65524    , 102151
2014, 1455315 , 884183  , 2791837 , 85716   , 120405 , 96740  , 85753  , 199603 , 284089 , 578634 , 696847  , 346715   , 169593  , 66586    , 61156  
2013, 1415319 , 906596  , 2764280 , 76666   , 101272 , 54651  , 95736  , 212831 , 231960 , 615518 , 755304  , 351687   , 163924  , 50686    , 54042
